graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,n_edges_original,biconnected,planar
v100_s9_p30,100,9,0.3,0.3007,100,200,286,True,True
v100_s9_p50,100,9,0.5,0.5000,100,143,286,True,True
v200_s0_p0,200,0,0.0,0.0000,200,583,583,True,True
v200_s0_p10,200,0,0.1,0.0995,200,525,583,True,True
v200_s0_p30,200,0,0.3,0.3002,200,408,583,True,True
v200_s0_p50,200,0,0.5,0.5009,200,291,583,True,True
v200_s1_p0,200,1,0.0,0.0000,200,582,582,True,True
v200_s1_p10,200,1,0.1,0.0997,200,524,582,True,True
v200_s1_p30,200,1,0.3,0.3007,200,407,582,True,True
v200_s1_p50,200,1,0.5,0.5000,200,291,582,True,True
v200_s2_p0,200,2,0.0,0.0000,200,586,586,True,True
v200_s2_p10,200,2,0.1,0.1007,200,527,586,True,True
v200_s2_p30,200,2,0.3,0.3003,200,410,586,True,True
v200_s2_p50,200,2,0.5,0.5000,200,293,586,True,True
v200_s3_p0,200,3,0.0,0.0000,200,588,588,True,True
v200_s3_p10,200,3,0.1,0.1003,200,529,588,True,True
v200_s3_p30,200,3,0.3,0.2993,200,412,588,True,True
v200_s3_p50,200,3,0.5,0.5000,200,294,588,True,True
v200_s4_p0,200,4,0.0,0.0000,200,584,584,True,True
v200_s4_p10,200,4,0.1,0.0993,200,526,584,True,True
v200_s4_p30,200,4,0.3,0.2997,200,409,584,True,True
v200_s4_p50,200,4,0.5,0.5000,200,292,584,True,True
v200_s5_p0,200,5,0.0,0.0000,200,585,585,True,True
v200_s5_p10,200,5,0.1,0.0991,200,527,585,True,True
v200_s5_p30,200,5,0.3,0.3009,200,409,585,True,True
v200_s5_p50,200,5,0.5,0.4991,200,293,585,True,True
v200_s6_p0,200,6,0.0,0.0000,200,583,583,True,True
v200_s6_p10,200,6,0.1,0.0995,200,525,583,True,True
v200_s6_p30,200,6,0.3,0.3002,200,408,583,True,True
v200_s6_p50,200,6,0.5,0.5009,200,291,583,True,True
v200_s7_p0,200,7,0.0,0.0000,200,586,586,True,True
v200_s7_p10,200,7,0.1,0.1007,200,527,586,True,True
v200_s7_p30,200,7,0.3,0.3003,200,410,586,True,True
v200_s7_p50,200,7,0.5,0.5000,200,293,586,True,True
v200_s8_p0,200,8,0.0,0.0000,200,584,584,True,True
v200_s8_p10,200,8,0.1,0.0993,200,526,584,True,True
v200_s8_p30,200,8,0.3,0.2997,200,409,584,True,True
v200_s8_p50,200,8,0.5,0.5000,200,292,584,True,True
v200_s9_p0,200,9,0.0,0.0000,200,582,582,True,True
v200_s9_p10,200,9,0.1,0.0997,200,524,582,True,True
v200_s9_p30,200,9,0.3,0.3007,200,407,582,True,True
v200_s9_p50,200,9,0.5,0.5000,200,291,582,True,True
v300_s0_p0,300,0,0.0,0.0000,300,881,881,True,True
v300_s0_p10,300,0,0.1,0.0999,300,793,881,True,True
v300_s0_p30,300,0,0.3,0.2997,300,617,881,True,True
v300_s0_p50,300,0,0.5,0.4994,300,441,881,True,True
v300_s1_p0,300,1,0.0,0.0000,300,883,883,True,True
v300_s1_p10,300,1,0.1,0.0997,300,795,883,True,True
v300_s1_p30,300,1,0.3,0.3001,300,618,883,True,True
v300_s1_p50,300,1,0.5,0.5006,300,441,883,True,True
v300_s2_p0,300,2,0.0,0.0000,300,884,884,True,True
v300_s2_p10,300,2,0.1,0.0995,300,796,884,True,True
v300_s2_p30,300,2,0.3,0.2998,300,619,884,True,True
v300_s2_p50,300,2,0.5,0.5000,300,442,884,True,True
v300_s3_p0,300,3,0.0,0.0000,300,881,881,True,True
v300_s3_p10,300,3,0.1,0.0999,300,793,881,True,True
v300_s3_p30,300,3,0.3,0.2997,300,617,881,True,True
v300_s3_p50,300,3,0.5,0.4994,300,441,881,True,True
v300_s4_p0,300,4,0.0,0.0000,300,881,881,True,True
v300_s4_p10,300,4,0.1,0.0999,300,793,881,True,True
v300_s4_p30,300,4,0.3,0.2997,300,617,881,True,True
v300_s4_p50,300,4,0.5,0.4994,300,441,881,True,True
v300_s5_p0,300,5,0.0,0.0000,300,886,886,True,True
v300_s5_p10,300,5,0.1,0.1005,300,797,886,True,True
v300_s5_p30,300,5,0.3,0.3002,300,620,886,True,True
v300_s5_p50,300,5,0.5,0.5000,300,443,886,True,True
v300_s6_p0,300,6,0.0,0.0000,300,881,881,True,True
v300_s6_p10,300,6,0.1,0.0999,300,793,881,True,True
v300_s6_p30,300,6,0.3,0.2997,300,617,881,True,True
v300_s6_p50,300,6,0.5,0.4994,300,441,881,True,True
v300_s7_p0,300,7,0.0,0.0000,300,883,883,True,True
v300_s7_p10,300,7,0.1,0.0997,300,795,883,True,True
v300_s7_p30,300,7,0.3,0.3001,300,618,883,True,True
v300_s7_p50,300,7,0.5,0.5006,300,441,883,True,True
v300_s8_p0,300,8,0.0,0.0000,300,885,885,True,True
v300_s8_p10,300,8,0.1,0.0994,300,797,885,True,True
v300_s8_p30,300,8,0.3,0.3006,300,619,885,True,True
v300_s8_p50,300,8,0.5,0.4994,300,443,885,True,True
v300_s9_p0,300,9,0.0,0.0000,300,882,882,True,True
v300_s9_p10,300,9,0.1,0.0998,300,794,882,True,True
v300_s9_p30,300,9,0.3,0.3005,300,617,882,True,True
v300_s9_p50,300,9,0.5,0.5000,300,441,882,True,True
v400_s0_p0,400,0,0.0,0.0000,400,1179,1179,True,True
v400_s0_p10,400,0,0.1,0.1001,400,1061,1179,True,True
v400_s0_p30,400,0,0.3,0.3003,400,825,1179,True,True
v400_s0_p50,400,0,0.5,0.5004,400,589,1179,True,True
v400_s1_p0,400,1,0.0,0.0000,400,1180,1180,True,True
v400_s1_p10,400,1,0.1,0.1000,400,1062,1180,True,True
v400_s1_p30,400,1,0.3,0.3000,400,826,1180,True,True
v400_s1_p50,400,1,0.5,0.5000,400,590,1180,True,True
v400_s2_p0,400,2,0.0,0.0000,400,1184,1184,True,True
v400_s2_p10,400,2,0.1,0.0997,400,1066,1184,True,True
v400_s2_p30,400,2,0.3,0.2998,400,829,1184,True,True
v400_s2_p50,400,2,0.5,0.5000,400,592,1184,True,True
v400_s3_p0,400,3,0.0,0.0000,400,1180,1180,True,True
v400_s3_p10,400,3,0.1,0.1000,400,1062,1180,True,True
v400_s3_p30,400,3,0.3,0.3000,400,826,1180,True,True
v400_s3_p50,400,3,0.5,0.5000,400,590,1180,True,True
v400_s4_p0,400,4,0.0,0.0000,400,1178,1178,True,True
v400_s4_p10,400,4,0.1,0.1002,400,1060,1178,True,True
v400_s4_p30,400,4,0.3,0.2997,400,825,1178,True,True
v400_s4_p50,400,4,0.5,0.5000,400,589,1178,True,True
v400_s5_p0,400,5,0.0,0.0000,400,1184,1184,True,True
v400_s5_p10,400,5,0.1,0.0997,400,1066,1184,True,True
v400_s5_p30,400,5,0.3,0.2998,400,829,1184,True,True
v400_s5_p50,400,5,0.5,0.5000,400,592,1184,True,True
v400_s6_p0,400,6,0.0,0.0000,400,1177,1177,True,True
v400_s6_p10,400,6,0.1,0.1003,400,1059,1177,True,True
v400_s6_p30,400,6,0.3,0.2999,400,824,1177,True,True
v400_s6_p50,400,6,0.5,0.4996,400,589,1177,True,True
v400_s7_p0,400,7,0.0,0.0000,400,1181,1181,True,True
v400_s7_p10,400,7,0.1,0.0999,400,1063,1181,True,True
v400_s7_p30,400,7,0.3,0.2997,400,827,1181,True,True
v400_s7_p50,400,7,0.5,0.4996,400,591,1181,True,True
v400_s8_p0,400,8,0.0,0.0000,400,1182,1182,True,True
v400_s8_p10,400,8,0.1,0.0998,400,1064,1182,True,True
v400_s8_p30,400,8,0.3,0.3003,400,827,1182,True,True
v400_s8_p50,400,8,0.5,0.5000,400,591,1182,True,True
v400_s9_p0,400,9,0.0,0.0000,400,1182,1182,True,True
v400_s9_p10,400,9,0.1,0.0998,400,1064,1182,True,True
v400_s9_p30,400,9,0.3,0.3003,400,827,1182,True,True
v400_s9_p50,400,9,0.5,0.5000,400,591,1182,True,True
v500_s0_p0,500,0,0.0,0.0000,500,1481,1481,True,True
v500_s0_p10,500,0,0.1,0.0999,500,1333,1481,True,True
v500_s0_p30,500,0,0.3,0.2998,500,1037,1481,True,True
v500_s0_p50,500,0,0.5,0.4997,500,741,1481,True,True
v500_s1_p0,500,1,0.0,0.0000,500,1479,1479,True,True
v500_s1_p10,500,1,0.1,0.1001,500,1331,1479,True,True
v500_s1_p30,500,1,0.3,0.3002,500,1035,1479,True,True
v500_s1_p50,500,1,0.5,0.5003,500,739,1479,True,True
v500_s2_p0,500,2,0.0,0.0000,500,1484,1484,True,True
v500_s2_p10,500,2,0.1,0.0997,500,1336,1484,True,True
v500_s2_p30,500,2,0.3,0.2999,500,1039,1484,True,True
v500_s2_p50,500,2,0.5,0.5000,500,742,1484,True,True
v500_s3_p0,500,3,0.0,0.0000,500,1477,1477,True,True
v500_s3_p10,500,3,0.1,0.1002,500,1329,1477,True,True
v500_s3_p30,500,3,0.3,0.2999,500,1034,1477,True,True
v500_s3_p50,500,3,0.5,0.4997,500,739,1477,True,True
v500_s4_p0,500,4,0.0,0.0000,500,1482,1482,True,True
v500_s4_p10,500,4,0.1,0.0999,500,1334,1482,True,True
v500_s4_p30,500,4,0.3,0.3003,500,1037,1482,True,True
v500_s4_p50,500,4,0.5,0.5000,500,741,1482,True,True
v500_s5_p0,500,5,0.0,0.0000,500,1485,1485,True,True
v500_s5_p10,500,5,0.1,0.0997,500,1337,1485,True,True
v500_s5_p30,500,5,0.3,0.3003,500,1039,1485,True,True
v500_s5_p50,500,5,0.5,0.4997,500,743,1485,True,True
v500_s6_p0,500,6,0.0,0.0000,500,1478,1478,True,True
v500_s6_p10,500,6,0.1,0.1001,500,1330,1478,True,True
v500_s6_p30,500,6,0.3,0.2997,500,1035,1478,True,True
v500_s6_p50,500,6,0.5,0.5000,500,739,1478,True,True
v500_s7_p0,500,7,0.0,0.0000,500,1479,1479,True,True
v500_s7_p10,500,7,0.1,0.1001,500,1331,1479,True,True
v500_s7_p30,500,7,0.3,0.3002,500,1035,1479,True,True
v500_s7_p50,500,7,0.5,0.5003,500,739,1479,True,True
v500_s8_p0,500,8,0.0,0.0000,500,1480,1480,True,True
v500_s8_p10,500,8,0.1,0.1000,500,1332,1480,True,True
v500_s8_p30,500,8,0.3,0.3000,500,1036,1480,True,True
v500_s8_p50,500,8,0.5,0.5000,500,740,1480,True,True
v500_s9_p0,500,9,0.0,0.0000,500,1481,1481,True,True
v500_s9_p10,500,9,0.1,0.0999,500,1333,1481,True,True
v500_s9_p30,500,9,0.3,0.2998,500,1037,1481,True,True
v500_s9_p50,500,9,0.5,0.4997,500,741,1481,True,True
