graph_id,family,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,n_edges_original,biconnected,planar
v300_s4_p50,grid,300,4,0.5,0.4159,306,337,577,True,True
v300_s5_p0,grid,300,5,0.0,0.0000,306,577,577,True,True
v300_s5_p10,grid,300,5,0.1,0.1005,306,519,577,True,True
v300_s5_p30,grid,300,5,0.3,0.2998,306,404,577,True,True
v300_s5_p50,grid,300,5,0.5,0.4194,306,335,577,True,True
v300_s6_p0,grid,300,6,0.0,0.0000,306,577,577,True,True
v300_s6_p10,grid,300,6,0.1,0.1005,306,519,577,True,True
v300_s6_p30,grid,300,6,0.3,0.2998,306,404,577,True,True
v300_s6_p50,grid,300,6,0.5,0.4229,306,333,577,True,True
v300_s7_p0,grid,300,7,0.0,0.0000,306,577,577,True,True
v300_s7_p10,grid,300,7,0.1,0.1005,306,519,577,True,True
v300_s7_p30,grid,300,7,0.3,0.2998,306,404,577,True,True
v300_s7_p50,grid,300,7,0.5,0.4159,306,337,577,True,True
v300_s8_p0,grid,300,8,0.0,0.0000,306,577,577,True,True
v300_s8_p10,grid,300,8,0.1,0.1005,306,519,577,True,True
v300_s8_p30,grid,300,8,0.3,0.2998,306,404,577,True,True
v300_s8_p50,grid,300,8,0.5,0.4298,306,329,577,True,True
v300_s9_p0,grid,300,9,0.0,0.0000,306,577,577,True,True
v300_s9_p10,grid,300,9,0.1,0.1005,306,519,577,True,True
v300_s9_p30,grid,300,9,0.3,0.2998,306,404,577,True,True
v300_s9_p50,grid,300,9,0.5,0.4246,306,332,577,True,True
v400_s0_p0,grid,400,0,0.0,0.0000,400,760,760,True,True
v400_s0_p10,grid,400,0,0.1,0.1000,400,684,760,True,True
v400_s0_p30,grid,400,0,0.3,0.3000,400,532,760,True,True
v400_s0_p50,grid,400,0,0.5,0.4197,400,441,760,True,True
v400_s1_p0,grid,400,1,0.0,0.0000,400,760,760,True,True
v400_s1_p10,grid,400,1,0.1,0.1000,400,684,760,True,True
v400_s1_p30,grid,400,1,0.3,0.3000,400,532,760,True,True
v400_s1_p50,grid,400,1,0.5,0.4158,400,444,760,True,True
v400_s2_p0,grid,400,2,0.0,0.0000,400,760,760,True,True
v400_s2_p10,grid,400,2,0.1,0.1000,400,684,760,True,True
v400_s2_p30,grid,400,2,0.3,0.3000,400,532,760,True,True
v400_s2_p50,grid,400,2,0.5,0.4250,400,437,760,True,True
v400_s3_p0,grid,400,3,0.0,0.0000,400,760,760,True,True
v400_s3_p10,grid,400,3,0.1,0.1000,400,684,760,True,True
v400_s3_p30,grid,400,3,0.3,0.3000,400,532,760,True,True
v400_s3_p50,grid,400,3,0.5,0.4250,400,437,760,True,True
v400_s4_p0,grid,400,4,0.0,0.0000,400,760,760,True,True
v400_s4_p10,grid,400,4,0.1,0.1000,400,684,760,True,True
v400_s4_p30,grid,400,4,0.3,0.3000,400,532,760,True,True
v400_s4_p50,grid,400,4,0.5,0.4224,400,439,760,True,True
v400_s5_p0,grid,400,5,0.0,0.0000,400,760,760,True,True
v400_s5_p10,grid,400,5,0.1,0.1000,400,684,760,True,True
v400_s5_p30,grid,400,5,0.3,0.3000,400,532,760,True,True
v400_s5_p50,grid,400,5,0.5,0.4303,400,433,760,True,True
v400_s6_p0,grid,400,6,0.0,0.0000,400,760,760,True,True
v400_s6_p10,grid,400,6,0.1,0.1000,400,684,760,True,True
v400_s6_p30,grid,400,6,0.3,0.3000,400,532,760,True,True
v400_s6_p50,grid,400,6,0.5,0.4289,400,434,760,True,True
v400_s7_p0,grid,400,7,0.0,0.0000,400,760,760,True,True
v400_s7_p10,grid,400,7,0.1,0.1000,400,684,760,True,True
v400_s7_p30,grid,400,7,0.3,0.3000,400,532,760,True,True
v400_s7_p50,grid,400,7,0.5,0.4263,400,436,760,True,True
v400_s8_p0,grid,400,8,0.0,0.0000,400,760,760,True,True
v400_s8_p10,grid,400,8,0.1,0.1000,400,684,760,True,True
v400_s8_p30,grid,400,8,0.3,0.3000,400,532,760,True,True
v400_s8_p50,grid,400,8,0.5,0.4237,400,438,760,True,True
v400_s9_p0,grid,400,9,0.0,0.0000,400,760,760,True,True
v400_s9_p10,grid,400,9,0.1,0.1000,400,684,760,True,True
v400_s9_p30,grid,400,9,0.3,0.3000,400,532,760,True,True
v400_s9_p50,grid,400,9,0.5,0.4237,400,438,760,True,True
v500_s0_p0,grid,500,0,0.0,0.0000,506,967,967,True,True
v500_s0_p10,grid,500,0,0.1,0.1003,506,870,967,True,True
v500_s0_p30,grid,500,0,0.3,0.2999,506,677,967,True,True
v500_s0_p50,grid,500,0,0.5,0.4343,506,547,967,True,True
v500_s1_p0,grid,500,1,0.0,0.0000,506,967,967,True,True
v500_s1_p10,grid,500,1,0.1,0.1003,506,870,967,True,True
v500_s1_p30,grid,500,1,0.3,0.2999,506,677,967,True,True
v500_s1_p50,grid,500,1,0.5,0.4281,506,553,967,True,True
v500_s2_p0,grid,500,2,0.0,0.0000,506,967,967,True,True
v500_s2_p10,grid,500,2,0.1,0.1003,506,870,967,True,True
v500_s2_p30,grid,500,2,0.3,0.2999,506,677,967,True,True
v500_s2_p50,grid,500,2,0.5,0.4302,506,551,967,True,True
v500_s3_p0,grid,500,3,0.0,0.0000,506,967,967,True,True
v500_s3_p10,grid,500,3,0.1,0.1003,506,870,967,True,True
v500_s3_p30,grid,500,3,0.3,0.2999,506,677,967,True,True
v500_s3_p50,grid,500,3,0.5,0.4302,506,551,967,True,True
v500_s4_p0,grid,500,4,0.0,0.0000,506,967,967,True,True
v500_s4_p10,grid,500,4,0.1,0.1003,506,870,967,True,True
v500_s4_p30,grid,500,4,0.3,0.2999,506,677,967,True,True
v500_s4_p50,grid,500,4,0.5,0.4261,506,555,967,True,True
v500_s5_p0,grid,500,5,0.0,0.0000,506,967,967,True,True
v500_s5_p10,grid,500,5,0.1,0.1003,506,870,967,True,True
v500_s5_p30,grid,500,5,0.3,0.2999,506,677,967,True,True
v500_s5_p50,grid,500,5,0.5,0.4333,506,548,967,True,True
v500_s6_p0,grid,500,6,0.0,0.0000,506,967,967,True,True
v500_s6_p10,grid,500,6,0.1,0.1003,506,870,967,True,True
v500_s6_p30,grid,500,6,0.3,0.2999,506,677,967,True,True
v500_s6_p50,grid,500,6,0.5,0.4188,506,562,967,True,True
v500_s7_p0,grid,500,7,0.0,0.0000,506,967,967,True,True
v500_s7_p10,grid,500,7,0.1,0.1003,506,870,967,True,True
v500_s7_p30,grid,500,7,0.3,0.2999,506,677,967,True,True
v500_s7_p50,grid,500,7,0.5,0.4343,506,547,967,True,True
v500_s8_p0,grid,500,8,0.0,0.0000,506,967,967,True,True
v500_s8_p10,grid,500,8,0.1,0.1003,506,870,967,True,True
v500_s8_p30,grid,500,8,0.3,0.2999,506,677,967,True,True
v500_s8_p50,grid,500,8,0.5,0.4250,506,556,967,True,True
v500_s9_p0,grid,500,9,0.0,0.0000,506,967,967,True,True
v500_s9_p10,grid,500,9,0.1,0.1003,506,870,967,True,True
v500_s9_p30,grid,500,9,0.3,0.2999,506,677,967,True,True
v500_s9_p50,grid,500,9,0.5,0.4281,506,553,967,True,True
