graph_id,family,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,n_edges_original,biconnected,planar
v200_s1_p30,hexagonal,200,1,0.3,0.2446,198,210,278,True,True
v200_s1_p50,hexagonal,200,1,0.5,0.2446,198,210,278,True,True
v200_s2_p0,hexagonal,200,2,0.0,0.0000,198,278,278,True,True
v200_s2_p10,hexagonal,200,2,0.1,0.1007,198,250,278,True,True
v200_s2_p30,hexagonal,200,2,0.3,0.2302,198,214,278,True,True
v200_s2_p50,hexagonal,200,2,0.5,0.2302,198,214,278,True,True
v200_s3_p0,hexagonal,200,3,0.0,0.0000,198,278,278,True,True
v200_s3_p10,hexagonal,200,3,0.1,0.1007,198,250,278,True,True
v200_s3_p30,hexagonal,200,3,0.3,0.2410,198,211,278,True,True
v200_s3_p50,hexagonal,200,3,0.5,0.2410,198,211,278,True,True
v200_s4_p0,hexagonal,200,4,0.0,0.0000,198,278,278,True,True
v200_s4_p10,hexagonal,200,4,0.1,0.1007,198,250,278,True,True
v200_s4_p30,hexagonal,200,4,0.3,0.2338,198,213,278,True,True
v200_s4_p50,hexagonal,200,4,0.5,0.2338,198,213,278,True,True
v200_s5_p0,hexagonal,200,5,0.0,0.0000,198,278,278,True,True
v200_s5_p10,hexagonal,200,5,0.1,0.1007,198,250,278,True,True
v200_s5_p30,hexagonal,200,5,0.3,0.2302,198,214,278,True,True
v200_s5_p50,hexagonal,200,5,0.5,0.2302,198,214,278,True,True
v200_s6_p0,hexagonal,200,6,0.0,0.0000,198,278,278,True,True
v200_s6_p10,hexagonal,200,6,0.1,0.1007,198,250,278,True,True
v200_s6_p30,hexagonal,200,6,0.3,0.2302,198,214,278,True,True
v200_s6_p50,hexagonal,200,6,0.5,0.2302,198,214,278,True,True
v200_s7_p0,hexagonal,200,7,0.0,0.0000,198,278,278,True,True
v200_s7_p10,hexagonal,200,7,0.1,0.1007,198,250,278,True,True
v200_s7_p30,hexagonal,200,7,0.3,0.2230,198,216,278,True,True
v200_s7_p50,hexagonal,200,7,0.5,0.2230,198,216,278,True,True
v200_s8_p0,hexagonal,200,8,0.0,0.0000,198,278,278,True,True
v200_s8_p10,hexagonal,200,8,0.1,0.1007,198,250,278,True,True
v200_s8_p30,hexagonal,200,8,0.3,0.2230,198,216,278,True,True
v200_s8_p50,hexagonal,200,8,0.5,0.2230,198,216,278,True,True
v200_s9_p0,hexagonal,200,9,0.0,0.0000,198,278,278,True,True
v200_s9_p10,hexagonal,200,9,0.1,0.1007,198,250,278,True,True
v200_s9_p30,hexagonal,200,9,0.3,0.2374,198,212,278,True,True
v200_s9_p50,hexagonal,200,9,0.5,0.2374,198,212,278,True,True
v300_s0_p0,hexagonal,300,0,0.0,0.0000,310,441,441,True,True
v300_s0_p10,hexagonal,300,0,0.1,0.0998,310,397,441,True,True
v300_s0_p30,hexagonal,300,0,0.3,0.2517,310,330,441,True,True
v300_s0_p50,hexagonal,300,0,0.5,0.2517,310,330,441,True,True
v300_s1_p0,hexagonal,300,1,0.0,0.0000,310,441,441,True,True
v300_s1_p10,hexagonal,300,1,0.1,0.0998,310,397,441,True,True
v300_s1_p30,hexagonal,300,1,0.3,0.2472,310,332,441,True,True
v300_s1_p50,hexagonal,300,1,0.5,0.2472,310,332,441,True,True
v300_s2_p0,hexagonal,300,2,0.0,0.0000,310,441,441,True,True
v300_s2_p10,hexagonal,300,2,0.1,0.0998,310,397,441,True,True
v300_s2_p30,hexagonal,300,2,0.3,0.2381,310,336,441,True,True
v300_s2_p50,hexagonal,300,2,0.5,0.2381,310,336,441,True,True
v300_s3_p0,hexagonal,300,3,0.0,0.0000,310,441,441,True,True
v300_s3_p10,hexagonal,300,3,0.1,0.0998,310,397,441,True,True
v300_s3_p30,hexagonal,300,3,0.3,0.2426,310,334,441,True,True
v300_s3_p50,hexagonal,300,3,0.5,0.2426,310,334,441,True,True
v300_s4_p0,hexagonal,300,4,0.0,0.0000,310,441,441,True,True
v300_s4_p10,hexagonal,300,4,0.1,0.0998,310,397,441,True,True
v300_s4_p30,hexagonal,300,4,0.3,0.2358,310,337,441,True,True
v300_s4_p50,hexagonal,300,4,0.5,0.2358,310,337,441,True,True
v300_s5_p0,hexagonal,300,5,0.0,0.0000,310,441,441,True,True
v300_s5_p10,hexagonal,300,5,0.1,0.0998,310,397,441,True,True
v300_s5_p30,hexagonal,300,5,0.3,0.2381,310,336,441,True,True
v300_s5_p50,hexagonal,300,5,0.5,0.2381,310,336,441,True,True
v300_s6_p0,hexagonal,300,6,0.0,0.0000,310,441,441,True,True
v300_s6_p10,hexagonal,300,6,0.1,0.0998,310,397,441,True,True
v300_s6_p30,hexagonal,300,6,0.3,0.2494,310,331,441,True,True
v300_s6_p50,hexagonal,300,6,0.5,0.2494,310,331,441,True,True
v300_s7_p0,hexagonal,300,7,0.0,0.0000,310,441,441,True,True
v300_s7_p10,hexagonal,300,7,0.1,0.0998,310,397,441,True,True
v300_s7_p30,hexagonal,300,7,0.3,0.2404,310,335,441,True,True
v300_s7_p50,hexagonal,300,7,0.5,0.2404,310,335,441,True,True
v300_s8_p0,hexagonal,300,8,0.0,0.0000,310,441,441,True,True
v300_s8_p10,hexagonal,300,8,0.1,0.0998,310,397,441,True,True
v300_s8_p30,hexagonal,300,8,0.3,0.2358,310,337,441,True,True
v300_s8_p50,hexagonal,300,8,0.5,0.2358,310,337,441,True,True
v300_s9_p0,hexagonal,300,9,0.0,0.0000,310,441,441,True,True
v300_s9_p10,hexagonal,300,9,0.1,0.0998,310,397,441,True,True
v300_s9_p30,hexagonal,300,9,0.3,0.2494,310,331,441,True,True
v300_s9_p50,hexagonal,300,9,0.5,0.2494,310,331,441,True,True
v400_s0_p0,hexagonal,400,0,0.0,0.0000,390,558,558,True,True
v400_s0_p10,hexagonal,400,0,0.1,0.1004,390,502,558,True,True
v400_s0_p30,hexagonal,400,0,0.3,0.2473,390,420,558,True,True
v400_s0_p50,hexagonal,400,0,0.5,0.2473,390,420,558,True,True
v400_s1_p0,hexagonal,400,1,0.0,0.0000,390,558,558,True,True
v400_s1_p10,hexagonal,400,1,0.1,0.1004,390,502,558,True,True
v400_s1_p30,hexagonal,400,1,0.3,0.2599,390,413,558,True,True
v400_s1_p50,hexagonal,400,1,0.5,0.2599,390,413,558,True,True
v400_s2_p0,hexagonal,400,2,0.0,0.0000,390,558,558,True,True
v400_s2_p10,hexagonal,400,2,0.1,0.1004,390,502,558,True,True
v400_s2_p30,hexagonal,400,2,0.3,0.2455,390,421,558,True,True
v400_s2_p50,hexagonal,400,2,0.5,0.2455,390,421,558,True,True
v400_s3_p0,hexagonal,400,3,0.0,0.0000,390,558,558,True,True
v400_s3_p10,hexagonal,400,3,0.1,0.1004,390,502,558,True,True
v400_s3_p30,hexagonal,400,3,0.3,0.2581,390,414,558,True,True
v400_s3_p50,hexagonal,400,3,0.5,0.2581,390,414,558,True,True
v400_s4_p0,hexagonal,400,4,0.0,0.0000,390,558,558,True,True
v400_s4_p10,hexagonal,400,4,0.1,0.1004,390,502,558,True,True
v400_s4_p30,hexagonal,400,4,0.3,0.2545,390,416,558,True,True
v400_s4_p50,hexagonal,400,4,0.5,0.2545,390,416,558,True,True
v400_s5_p0,hexagonal,400,5,0.0,0.0000,390,558,558,True,True
v400_s5_p10,hexagonal,400,5,0.1,0.1004,390,502,558,True,True
v400_s5_p30,hexagonal,400,5,0.3,0.2455,390,421,558,True,True
v400_s5_p50,hexagonal,400,5,0.5,0.2455,390,421,558,True,True
v400_s6_p0,hexagonal,400,6,0.0,0.0000,390,558,558,True,True
v400_s6_p10,hexagonal,400,6,0.1,0.1004,390,502,558,True,True
v400_s6_p30,hexagonal,400,6,0.3,0.2527,390,417,558,True,True
v400_s6_p50,hexagonal,400,6,0.5,0.2527,390,417,558,True,True
v400_s7_p0,hexagonal,400,7,0.0,0.0000,390,558,558,True,True
v400_s7_p10,hexagonal,400,7,0.1,0.1004,390,502,558,True,True
v400_s7_p30,hexagonal,400,7,0.3,0.2366,390,426,558,True,True
v400_s7_p50,hexagonal,400,7,0.5,0.2366,390,426,558,True,True
v400_s8_p0,hexagonal,400,8,0.0,0.0000,390,558,558,True,True
v400_s8_p10,hexagonal,400,8,0.1,0.1004,390,502,558,True,True
v400_s8_p30,hexagonal,400,8,0.3,0.2491,390,419,558,True,True
v400_s8_p50,hexagonal,400,8,0.5,0.2491,390,419,558,True,True
v400_s9_p0,hexagonal,400,9,0.0,0.0000,390,558,558,True,True
v400_s9_p10,hexagonal,400,9,0.1,0.1004,390,502,558,True,True
v400_s9_p30,hexagonal,400,9,0.3,0.2491,390,419,558,True,True
v400_s9_p50,hexagonal,400,9,0.5,0.2491,390,419,558,True,True
v500_s0_p0,hexagonal,500,0,0.0,0.0000,508,731,731,True,True
v500_s0_p10,hexagonal,500,0,0.1,0.0999,508,658,731,True,True
v500_s0_p30,hexagonal,500,0,0.3,0.2490,508,549,731,True,True
v500_s0_p50,hexagonal,500,0,0.5,0.2490,508,549,731,True,True
v500_s1_p0,hexagonal,500,1,0.0,0.0000,508,731,731,True,True
v500_s1_p10,hexagonal,500,1,0.1,0.0999,508,658,731,True,True
v500_s1_p30,hexagonal,500,1,0.3,0.2503,508,548,731,True,True
v500_s1_p50,hexagonal,500,1,0.5,0.2503,508,548,731,True,True
v500_s2_p0,hexagonal,500,2,0.0,0.0000,508,731,731,True,True
v500_s2_p10,hexagonal,500,2,0.1,0.0999,508,658,731,True,True
v500_s2_p30,hexagonal,500,2,0.3,0.2572,508,543,731,True,True
v500_s2_p50,hexagonal,500,2,0.5,0.2572,508,543,731,True,True
v500_s3_p0,hexagonal,500,3,0.0,0.0000,508,731,731,True,True
v500_s3_p10,hexagonal,500,3,0.1,0.0999,508,658,731,True,True
v500_s3_p30,hexagonal,500,3,0.3,0.2531,508,546,731,True,True
v500_s3_p50,hexagonal,500,3,0.5,0.2531,508,546,731,True,True
v500_s4_p0,hexagonal,500,4,0.0,0.0000,508,731,731,True,True
v500_s4_p10,hexagonal,500,4,0.1,0.0999,508,658,731,True,True
v500_s4_p30,hexagonal,500,4,0.3,0.2531,508,546,731,True,True
v500_s4_p50,hexagonal,500,4,0.5,0.2531,508,546,731,True,True
v500_s5_p0,hexagonal,500,5,0.0,0.0000,508,731,731,True,True
v500_s5_p10,hexagonal,500,5,0.1,0.0999,508,658,731,True,True
v500_s5_p30,hexagonal,500,5,0.3,0.2572,508,543,731,True,True
v500_s5_p50,hexagonal,500,5,0.5,0.2572,508,543,731,True,True
v500_s6_p0,hexagonal,500,6,0.0,0.0000,508,731,731,True,True
v500_s6_p10,hexagonal,500,6,0.1,0.0999,508,658,731,True,True
v500_s6_p30,hexagonal,500,6,0.3,0.2531,508,546,731,True,True
v500_s6_p50,hexagonal,500,6,0.5,0.2531,508,546,731,True,True
v500_s7_p0,hexagonal,500,7,0.0,0.0000,508,731,731,True,True
v500_s7_p10,hexagonal,500,7,0.1,0.0999,508,658,731,True,True
v500_s7_p30,hexagonal,500,7,0.3,0.2517,508,547,731,True,True
v500_s7_p50,hexagonal,500,7,0.5,0.2517,508,547,731,True,True
v500_s8_p0,hexagonal,500,8,0.0,0.0000,508,731,731,True,True
v500_s8_p10,hexagonal,500,8,0.1,0.0999,508,658,731,True,True
v500_s8_p30,hexagonal,500,8,0.3,0.2503,508,548,731,True,True
v500_s8_p50,hexagonal,500,8,0.5,0.2503,508,548,731,True,True
v500_s9_p0,hexagonal,500,9,0.0,0.0000,508,731,731,True,True
v500_s9_p10,hexagonal,500,9,0.1,0.0999,508,658,731,True,True
v500_s9_p30,hexagonal,500,9,0.3,0.2558,508,544,731,True,True
v500_s9_p50,hexagonal,500,9,0.5,0.2558,508,544,731,True,True
